date,name,location,humidity,temperature,sound,id
2016-03-20 03:21:00,robo-sensor-pad-188778AThJF,United States,26,34,41,188778
2016-03-20 03:21:00,robo-meter-gauge-188779K6huHvr0,Malaysia,96,16,73,188779
2016-03-20 03:21:00,robo-sensor-pad-188780jiZjF,Finland,34,18,90,188780
2016-03-20 03:21:00,robo-device-mac-188781UGeTab,United States,68,11,9,188781
2016-03-20 03:21:00,robo-sensor-pad-1887828yFT2kO,United States,88,33,38,188782
2016-03-20 03:21:00,robo-meter-gauge-1887839sxNCWc,United Kingdom,92,29,55,188783
2016-03-20 03:21:00,robo-sensor-pad-188784FRC4VUjG,United States,89,27,49,188784
2016-03-20 03:21:00,robo-therm-stick-188785VtR24daEuB,Bulgaria,78,33,20,188785
2016-03-20 03:21:00,robo-sensor-pad-188786d5NEiILteD,Czech Republic,67,27,95,188786
2016-03-20 03:21:00,robo-device-mac-188787x7l7H,France,68,28,74,188787
2016-03-20 03:21:00,robo-sensor-pad-188788XkHHGkIxwW,Norway,62,14,33,188788
2016-03-20 03:21:00,robo-meter-gauge-188789K64gXiO,United States,85,33,67,188789
2016-03-20 03:21:00,robo-sensor-pad-188790JtCfrk,United States,28,18,64,188790
2016-03-20 03:21:00,robo-meter-gauge-188791CaTEr8,Australia,99,10,72,188791
2016-03-20 03:21:00,robo-sensor-pad-188792077CgI,France,74,23,34,188792
2016-03-20 03:21:00,robo-device-mac-188793Zrs8z,Belgium,55,20,24,188793
2016-03-20 03:21:00,robo-sensor-pad-188794h0wD9YH,United States,47,23,53,188794
2016-03-20 03:21:00,robo-therm-stick-188795k6w5KnrLq,United States,41,26,6,188795
2016-03-20 03:21:00,robo-sensor-pad-188796ZxDO3o8,United Kingdom,57,31,19,188796
2016-03-20 03:21:00,robo-meter-gauge-188797yuYzOtY,United States,45,22,26,188797
2016-03-20 03:21:00,robo-sensor-pad-188798w39TK6xYe,United Kingdom,34,13,41,188798
2016-03-20 03:21:00,robo-device-mac-188799TE2wdPkby,Russia,36,20,49,188799
2016-03-20 03:21:00,robo-sensor-pad-188800rtBS5RkT,Germany,59,28,77,188800
2016-03-20 03:21:00,robo-meter-gauge-188801toRFAog,Australia,38,25,61,188801
2016-03-20 03:21:00,robo-sensor-pad-188802ClcNgSCm5,United States,63,23,13,188802
2016-03-20 03:21:00,robo-meter-gauge-188803DUoTMTC,China,30,29,20,188803
2016-03-20 03:21:00,robo-sensor-pad-188804npNyeJi58,China,91,11,82,188804
2016-03-20 03:21:00,robo-device-mac-188805y0yJkbeU,United States,62,34,88,188805
2016-03-20 03:21:00,robo-sensor-pad-188806gJBfffO,Japan,69,15,22,188806
2016-03-20 03:21:00,robo-meter-gauge-188807UXYPdSE,Spain,80,16,20,188807
2016-03-20 03:21:00,robo-sensor-pad-188808gXoQk1SsLM,India,69,14,93,188808
2016-03-20 03:21:00,robo-meter-gauge-188809AiK4fIe,Republic of Korea,34,13,92,188809
2016-03-20 03:21:00,robo-sensor-pad-188810HSiU53,United States,35,21,23,188810
2016-03-20 03:21:00,robo-device-mac-188811qZLOU,China,96,14,33,188811
2016-03-20 03:21:00,robo-sensor-pad-188812IS79zEbV,Taiwan,98,26,73,188812
2016-03-20 03:21:00,robo-meter-gauge-188813RDpAy9Rn,United States,32,13,45,188813
2016-03-20 03:21:00,robo-sensor-pad-188814kaUsH,China,75,16,56,188814
2016-03-20 03:21:00,robo-therm-stick-188815PbT9fu,United States,82,29,2,188815
2016-03-20 03:21:00,robo-sensor-pad-188816v3pgLmo,Brazil,97,19,92,188816
2016-03-20 03:21:00,robo-device-mac-188817kbNwk,Republic of Korea,61,34,22,188817
2016-03-20 03:21:00,robo-sensor-pad-188818xuVHn,Japan,38,19,68,188818
2016-03-20 03:21:00,robo-meter-gauge-188819EgxngYNo,United States,37,27,14,188819
2016-03-20 03:21:00,robo-sensor-pad-188820Iwo5NWpR,Latvia,54,31,83,188820
2016-03-20 03:21:00,robo-meter-gauge-188821yTXsk,Germany,78,27,99,188821
2016-03-20 03:21:00,robo-sensor-pad-188822gtkMdL5FOh,Italy,90,20,41,188822
2016-03-20 03:21:00,robo-device-mac-1888238sZeXwqK7,United States,38,32,22,188823
2016-03-20 03:21:00,robo-sensor-pad-188824ITECoBfq7H,Japan,33,10,80,188824
2016-03-20 03:21:00,robo-therm-stick-188825l9PhCvwD,Netherlands,35,24,86,188825
2016-03-20 03:21:00,robo-sensor-pad-188826zvMj9v,Switzerland,94,17,92,188826
2016-03-20 03:21:00,robo-meter-gauge-188827FErLW716Y8,Czech Republic,50,21,77,188827
2016-03-20 03:21:00,robo-sensor-pad-188828QXW8fGv,Czech Republic,33,31,36,188828
2016-03-20 03:21:00,robo-device-mac-188829kwGXniwbf,United States,69,27,97,188829
2016-03-20 03:21:00,robo-sensor-pad-188830PcBtZ,United States,27,20,61,188830
2016-03-20 03:21:00,robo-meter-gauge-188831PqgNH,Romania,91,20,52,188831
2016-03-20 03:21:00,robo-sensor-pad-188832mdNu3,Tajikistan,31,17,0,188832
2016-03-20 03:21:00,robo-meter-gauge-188833cS2xLv,Russia,83,23,62,188833
2016-03-20 03:21:00,robo-sensor-pad-188834pOPXOMkZhi,,91,18,66,188834
2016-03-20 03:21:00,robo-device-mac-1888356SPbCyJa,Russia,48,29,42,188835
2016-03-20 03:21:00,robo-sensor-pad-188836MApdS6,China,83,34,43,188836
2016-03-20 03:21:00,robo-meter-gauge-188837eipWTn,United States,39,13,77,188837
2016-03-20 03:21:00,robo-sensor-pad-188838gkf9Ky,United States,95,15,53,188838
2016-03-20 03:21:00,robo-meter-gauge-188839iC1wJE,United Kingdom,79,14,12,188839
2016-03-20 03:21:00,robo-sensor-pad-188840nxgBXEk,United States,68,29,91,188840
2016-03-20 03:21:00,robo-device-mac-188841oVcYeJCd,China,82,16,21,188841
