battery_level,c02_level,cca2,cca3,cn,device_id,device_name,humidity,ip,latitude,lcd,longitude,scale,temp,timestamp
3,1108,US,USA,United States,158706,sensor-pad-158706YI9XP6k,44,72.129.5.3,38.0,yellow,-97.0,Celsius,19,1458444060060
9,1534,JP,JPN,Japan,158707,meter-gauge-158707LpKjZXLBz,25,221.240.2.230,35.69,red,139.75,Celsius,21,1458444060060
1,1549,KR,KOR,Republic of Korea,158708,sensor-pad-158708DvvAnHN2,31,203.248.255.78,37.57,red,126.98,Celsius,30,1458444060060
6,1439,IL,ISR,Israel,158709,device-mac-158709OI5I9Dydj,46,62.219.195.71,31.96,red,34.8,Celsius,18,1458444060060
9,1218,US,USA,United States,158710,sensor-pad-158710AQtyNsdbi,53,64.202.163.170,33.61,yellow,-111.89,Celsius,13,1458444060060
5,924,IN,IND,India,158711,meter-gauge-158711OTckv,94,61.0.35.1,12.98,green,77.58,Celsius,29,1458444060060
5,1075,JP,JPN,Japan,158712,sensor-pad-158712KArVwFEihe,78,211.127.122.205,35.69,yellow,139.69,Celsius,21,1458444060060
9,1457,PT,PRT,Portugal,158713,meter-gauge-158713qSwyfDui,61,193.137.209.1,38.71,red,-9.14,Celsius,23,1458444060060
4,1451,JP,JPN,Japan,158714,sensor-pad-158714BKolnNBcdS,51,218.137.214.1,35.69,red,139.69,Celsius,27,1458444060060
2,814,CN,CHN,China,158715,device-mac-1587159EuNdgFrL,95,221.6.16.26,32.06,green,118.78,Celsius,30,1458444060060
2,1488,JP,JPN,Japan,158716,sensor-pad-158716RXR1nKA,28,222.227.10.44,35.69,red,139.69,Celsius,34,1458444060060
5,824,PL,POL,Poland,158717,meter-gauge-158717edhb3pX3,27,194.114.151.225,52.23,green,21.02,Celsius,26,1458444060060
2,1037,TW,TWN,Taiwan,158718,sensor-pad-158718mCdqL,90,202.154.192.2,25.04,yellow,121.53,Celsius,16,1458444060060
0,1381,US,USA,United States,158719,meter-gauge-158719zPMCPHtj1m,38,70.149.108.1,38.0,yellow,-97.0,Celsius,26,1458444060060
1,1067,FR,FRA,France,158720,sensor-pad-158720vNhhdzz,92,84.14.193.230,48.86,yellow,2.35,Celsius,27,1458444060060
9,1228,KR,KOR,Republic of Korea,158721,device-mac-158721Q4sSg,90,210.127.46.99,37.57,yellow,126.98,Celsius,19,1458444060060
5,994,US,USA,United States,158722,sensor-pad-158722L66065G5,46,216.171.176.3,40.89,green,-73.84,Celsius,20,1458444060060
7,1428,FR,FRA,France,158723,meter-gauge-158723AgPcDT,92,193.51.5.4,48.86,red,2.35,Celsius,14,1458444060060
5,887,DE,DEU,Germany,158724,sensor-pad-158724iR4kZuM,66,139.4.13.122,51.0,green,9.0,Celsius,16,1458444060060
9,1311,US,USA,United States,158725,therm-stick-1587253jYqde0Fn,88,65.42.178.1,38.0,yellow,-97.0,Celsius,23,1458444060060
2,1034,RU,RUS,Russia,158726,sensor-pad-158726FE1JND,46,217.170.208.129,55.75,yellow,37.62,Celsius,18,1458444060060
5,1360,CN,CHN,China,158727,device-mac-158727Zt9fyPd,35,220.187.241.30,30.01,yellow,120.57,Celsius,10,1458444060060
7,1163,US,USA,United States,158728,sensor-pad-158728WoPGUrklU,25,216.178.42.2,34.1,yellow,-118.41,Celsius,29,1458444060060
1,1579,CN,CHN,China,158729,meter-gauge-158729Rf4WoU,28,221.181.241.105,35.0,red,105.0,Celsius,29,1458444060060
8,1358,US,USA,United States,158730,sensor-pad-158730WfBfQR,59,209.240.168.193,31.9,yellow,-102.34,Celsius,29,1458444060060
4,1015,KR,KOR,Republic of Korea,158731,meter-gauge-158731Kzvh6K,43,220.85.23.162,37.57,yellow,126.98,Celsius,25,1458444060060
5,1316,US,USA,United States,158732,sensor-pad-1587329yq6lr3tU,56,66.38.12.24,37.72,yellow,-85.86,Celsius,10,1458444060060
2,1367,US,USA,United States,158733,device-mac-1587332x8NPv,39,72.54.103.1,39.65,yellow,-104.98,Celsius,21,1458444060060
2,1594,DE,DEU,Germany,158734,sensor-pad-15873451QDkNkf1E,89,81.169.188.49,52.52,red,13.4,Celsius,12,1458444060060
5,930,JP,JPN,Japan,158735,therm-stick-158735Ho3sw0,59,150.99.189.85,35.69,green,139.69,Celsius,33,1458444060060
5,924,JP,JPN,Japan,158736,sensor-pad-158736J9gUGevT,91,60.37.17.200,35.69,green,139.69,Celsius,28,1458444060060
0,1395,US,USA,United States,158737,meter-gauge-158737bR8CwstGYW,71,207.210.143.106,42.38,yellow,-71.13,Celsius,29,1458444060060
8,889,CA,CAN,Canada,158738,sensor-pad-158738D8JJL7o,89,204.174.219.150,43.64,green,-79.39,Celsius,25,1458444060060
9,816,MY,MYS,Malaysia,158739,device-mac-158739h8EhzGV,47,219.93.177.210,2.5,green,112.5,Celsius,28,1458444060060
6,1197,US,USA,United States,158740,sensor-pad-158740Ato2lMR5wg,49,151.203.190.1,42.16,yellow,-73.33,Celsius,10,1458444060060
8,1001,ES,ESP,Spain,158741,meter-gauge-158741kQBYsMFip,90,81.203.176.1,39.4,yellow,-0.42,Celsius,30,1458444060060
3,1127,US,USA,United States,158742,sensor-pad-158742m5PZ8sTt,89,71.203.174.1,30.49,yellow,-81.67,Celsius,18,1458444060060
4,822,TH,THA,Thailand,158743,meter-gauge-158743BUjqU,82,61.91.210.206,13.75,green,100.47,Celsius,16,1458444060060
7,1598,JP,JPN,Japan,158744,sensor-pad-158744kIyJHK8l,30,164.46.109.222,35.69,red,139.69,Celsius,33,1458444060061
2,1354,US,USA,United States,158745,device-mac-158745KDOvUhlCCj,85,71.96.245.1,38.0,yellow,-97.0,Celsius,33,1458444060061
